w_velocity,w_safety,w_comfort,total_energy,energy_per_km,distance_km,rms_jerk,min_thw,avg_thw,avg_velocity,avg_lead_velocity,collision
0.05,0.05,0.9,388.8863130930484,194.10518624795526,2.003481388092041,0.6099438550354109,0.18838626146316528,21.10795783996582,14.65068531036377,14.523411750793457,False
0.05,0.135,0.815,391.52025081064335,195.80837368541864,1.9995062351226807,0.22405987215616938,0.1958862543106079,13.092891693115234,14.994422912597656,14.862488746643066,False
0.05,0.22,0.73,2046.7298432224832,166.54614721551656,12.289264678955078,0.18949837982651885,1.6660536527633667,6.5791521072387695,20.48040008544922,20.6204776763916,False
0.05,0.305,0.645,2070.7992421781405,168.0427977946615,12.32304573059082,0.18239061758745276,1.6155537366867065,5.267818927764893,20.536697387695312,20.6204776763916,False
0.05,0.39,0.56,2084.743285452006,168.79984001059145,12.350385665893555,0.17322067175873979,1.8993154764175415,4.394596099853516,20.58226203918457,20.6204776763916,False
0.05,0.475,0.475,2080.9936303037553,168.24819391485013,12.368593215942383,0.18065852580854963,2.0285251140594482,3.8285768032073975,20.61260223388672,20.6204776763916,False
0.05,0.56,0.39,2070.545062064712,167.3139618040061,12.37520694732666,0.1645778789648003,2.0364065170288086,3.406949043273926,20.623626708984375,20.6204776763916,False
0.05,0.645,0.305,2063.039427763784,166.68136786339596,12.377143859863281,0.14700311872259875,2.048114538192749,3.080174684524536,20.62685203552246,20.6204776763916,False
0.05,0.73,0.22,2056.1452010318244,166.11727702646877,12.377671241760254,0.14566300380686417,2.079472780227661,2.828380823135376,20.62773323059082,20.6204776763916,False
0.05,0.815,0.135,2049.8389723645228,165.61030651344024,12.377483367919922,0.1667002984261043,2.164929151535034,2.6414310932159424,20.627418518066406,20.6204776763916,False
0.05,0.9,0.05,2033.7742346716768,164.34649458144347,12.374916076660156,0.13544140736684687,2.1006503105163574,2.5539770126342773,20.623140335083008,20.6204776763916,False
0.135,0.05,0.815,1709.3637369653734,141.41084950536148,12.087924003601074,5.2117480054838765,0.6347636580467224,10.68308162689209,21.255359649658203,21.22371482849121,False
0.135,0.135,0.73,1956.9548332499355,158.68600583761122,12.332244873046875,0.16858264579492094,1.5482295751571655,6.5917887687683105,20.55202865600586,20.6204776763916,False
0.135,0.22,0.645,2005.4651130345844,162.3646826647418,12.351608276367188,0.17619608132750472,1.9748178720474243,4.974245071411133,20.58429718017578,20.6204776763916,False
0.135,0.305,0.56,2023.9865931172533,163.67268466102988,12.366061210632324,0.16832769299211664,2.095705270767212,4.143850803375244,20.60838508605957,20.6204776763916,False
0.135,0.39,0.475,2036.2991291171388,164.5625377059413,12.37401294708252,0.16127890358495656,2.126197338104248,3.6317873001098633,20.62163543701172,20.6204776763916,False
0.135,0.475,0.39,2041.3136541636,164.930069771459,12.376842498779297,0.15309522748843543,2.156036376953125,3.284036159515381,20.626352310180664,20.6204776763916,False
0.135,0.56,0.305,2039.906563696667,164.8039377435356,12.377777099609375,0.15035135669515912,2.203054904937744,3.03859543800354,20.627910614013672,20.6204776763916,False
0.135,0.645,0.22,2037.113666395074,164.57586514194492,12.377960205078125,0.16254325687740506,2.1650381088256836,2.863447666168213,20.62821388244629,20.6204776763916,False
0.135,0.73,0.135,2032.6793876735892,164.22169946378563,12.377653121948242,0.1586860636773607,2.100985050201416,2.751030206680298,20.627702713012695,20.6204776763916,False
0.135,0.815,0.05,2029.194997178416,163.9703619653242,12.375375747680664,0.14767362948423277,2.0471720695495605,2.6704370975494385,20.6239070892334,20.6204776763916,False
0.22,0.05,0.73,5.602703737045967,141.9110065245546,0.03947940468788147,0.32671742247965985,0.9831720590591431,12.955220222473145,2.913609027862549,1.5860027074813843,False
0.22,0.135,0.645,1944.278735687426,157.18669580697872,12.369231224060059,0.13927350353479998,1.9928250312805176,6.104367733001709,20.61366844177246,20.6204776763916,False
0.22,0.22,0.56,1988.4325677357656,160.67188538787144,12.375733375549316,0.1610648270034331,2.199275255203247,4.65236234664917,20.624502182006836,20.6204776763916,False
0.22,0.305,0.475,2004.4182076987863,161.93689782168434,12.377772331237793,0.15910056637146416,2.2198991775512695,3.95064377784729,20.627901077270508,20.6204776763916,False
0.22,0.39,0.39,2013.7330427327333,162.68268714626777,12.378286361694336,0.15742638614714496,2.1959822177886963,3.5275461673736572,20.62875747680664,20.6204776763916,False
0.22,0.475,0.305,2019.8276939325397,163.1741608355888,12.3783540725708,0.16442870680877925,2.12784743309021,3.2472333908081055,20.62887191772461,20.6204776763916,False
0.22,0.56,0.22,2022.045132358303,163.35584149118714,12.378161430358887,0.16933253953747177,2.099663257598877,3.057704448699951,20.628549575805664,20.6204776763916,False
0.22,0.645,0.135,2022.841235652917,163.42730845999247,12.377619743347168,0.14788718945363089,2.0708179473876953,2.923929214477539,20.627647399902344,20.6204776763916,False
0.22,0.73,0.05,2023.3890713953606,163.49952217489155,12.375503540039062,0.15847480690207932,2.038008689880371,2.8031792640686035,20.624120712280273,20.6204776763916,False
0.305,0.05,0.645,6.889688737165222,184.5118054540553,0.03733909875154495,0.5123724714110036,0.8028217554092407,11.343514442443848,3.409963369369507,1.7730416059494019,False
0.305,0.135,0.56,1937.7461217105956,156.52622117807837,12.37968921661377,0.14062152877027814,2.097975492477417,6.298079490661621,20.63109588623047,20.6204776763916,False
0.305,0.22,0.475,1971.5173106721927,159.26057650333723,12.379191398620605,0.1517728072177848,2.150132894515991,4.708154201507568,20.630266189575195,20.6204776763916,False
0.305,0.305,0.39,1994.3149267824676,161.1070743255925,12.378815650939941,0.16815569348432524,2.1018824577331543,3.9983699321746826,20.629638671875,20.6204776763916,False
0.305,0.39,0.305,2004.3307955160362,161.91984292553315,12.378536224365234,0.1787888692329768,2.0974528789520264,3.5922534465789795,20.629173278808594,20.6204776763916,False
