w_velocity,w_safety,w_comfort,total_energy,energy_per_km,rms_jerk,min_thw,avg_velocity,collision
0.05,0.05,0.9,388.8863130930484,194.10518624795526,0.6099438550354109,0.18838626146316528,14.65068531036377,False
0.05,0.135,0.815,391.52025081064335,195.80837368541864,0.22405987215616938,0.1958862543106079,14.994422912597656,False
0.05,0.22,0.73,2046.7298432224832,166.54614721551656,0.18949837982651885,1.6660536527633667,20.48040008544922,False
0.05,0.305,0.645,2070.7992421781405,168.0427977946615,0.18239061758745276,1.6155537366867065,20.536697387695312,False
0.05,0.39,0.56,2084.743285452006,168.79984001059145,0.17322067175873979,1.8993154764175415,20.58226203918457,False
0.05,0.475,0.475,2080.9936303037553,168.24819391485013,0.18065852580854963,2.0285251140594482,20.61260223388672,False
0.05,0.56,0.39,2070.545062064712,167.3139618040061,0.1645778789648003,2.0364065170288086,20.623626708984375,False
0.05,0.645,0.305,2063.039427763784,166.68136786339596,0.14700311872259875,2.048114538192749,20.62685203552246,False
0.05,0.73,0.22,2056.1452010318244,166.11727702646877,0.14566300380686417,2.079472780227661,20.62773323059082,False
0.05,0.815,0.135,2049.8389723645228,165.61030651344024,0.1667002984261043,2.164929151535034,20.627418518066406,False
0.05,0.9,0.05,2033.7742346716768,164.34649458144347,0.13544140736684687,2.1006503105163574,20.623140335083008,False
0.135,0.05,0.815,1709.3637369653734,141.41084950536148,5.2117480054838765,0.6347636580467224,21.255359649658203,False
0.135,0.135,0.73,1956.9548332499355,158.68600583761122,0.16858264579492094,1.5482295751571655,20.55202865600586,False
0.135,0.22,0.645,2005.4651130345844,162.3646826647418,0.17619608132750472,1.9748178720474243,20.58429718017578,False
0.135,0.305,0.56,2023.9865931172533,163.67268466102988,0.16832769299211664,2.095705270767212,20.60838508605957,False
0.135,0.39,0.475,2036.2991291171388,164.5625377059413,0.16127890358495656,2.126197338104248,20.62163543701172,False
0.135,0.475,0.39,2041.3136541636,164.930069771459,0.15309522748843543,2.156036376953125,20.626352310180664,False
0.135,0.56,0.305,2039.906563696667,164.8039377435356,0.15035135669515912,2.203054904937744,20.627910614013672,False
0.135,0.645,0.22,2037.113666395074,164.57586514194492,0.16254325687740506,2.1650381088256836,20.62821388244629,False
0.135,0.73,0.135,2032.6793876735892,164.22169946378563,0.1586860636773607,2.100985050201416,20.627702713012695,False
0.135,0.815,0.05,2029.194997178416,163.9703619653242,0.14767362948423277,2.0471720695495605,20.6239070892334,False
0.22,0.05,0.73,5.602703737045967,141.9110065245546,0.32671742247965985,0.9831720590591431,2.913609027862549,False
0.22,0.135,0.645,1944.278735687426,157.18669580697872,0.13927350353479998,1.9928250312805176,20.61366844177246,False
0.22,0.22,0.56,1988.4325677357656,160.67188538787144,0.1610648270034331,2.199275255203247,20.624502182006836,False
0.22,0.305,0.475,2004.4182076987863,161.93689782168434,0.15910056637146416,2.2198991775512695,20.627901077270508,False
0.22,0.39,0.39,2013.7330427327333,162.68268714626777,0.15742638614714496,2.1959822177886963,20.62875747680664,False
0.22,0.475,0.305,2019.8276939325397,163.1741608355888,0.16442870680877925,2.12784743309021,20.62887191772461,False
0.22,0.56,0.22,2022.045132358303,163.35584149118714,0.16933253953747177,2.099663257598877,20.628549575805664,False
0.22,0.645,0.135,2022.841235652917,163.42730845999247,0.14788718945363089,2.0708179473876953,20.627647399902344,False
0.22,0.73,0.05,2023.3890713953606,163.49952217489155,0.15847480690207932,2.038008689880371,20.624120712280273,False
0.305,0.05,0.645,6.889688737165222,184.5118054540553,0.5123724714110036,0.8028217554092407,3.409963369369507,False
0.305,0.135,0.56,1937.7461217105956,156.52622117807837,0.14062152877027814,2.097975492477417,20.63109588623047,False
0.305,0.22,0.475,1971.5173106721927,159.26057650333723,0.1517728072177848,2.150132894515991,20.630266189575195,False
0.305,0.305,0.39,1994.3149267824676,161.1070743255925,0.16815569348432524,2.1018824577331543,20.629638671875,False
0.305,0.39,0.305,2004.3307955160362,161.91984292553315,0.1787888692329768,2.0974528789520264,20.629173278808594,False
0.305,0.475,0.22,2010.01737922332,162.38363721183637,0.1690692897316465,2.0844504833221436,20.62861442565918,False
0.305,0.56,0.135,2013.8682043879883,162.70285745050495,0.14912686103728373,2.0530316829681396,20.627586364746094,False
0.305,0.645,0.05,2017.307416056276,163.00759284882938,0.1683219343484409,2.0343360900878906,20.62418556213379,False
0.39,0.05,0.56,7.899165300642551,214.16704049299662,0.7638255894696505,0.7286830544471741,3.7443854808807373,False
0.39,0.135,0.475,1936.0404387845101,156.38100751335992,0.15214689285217411,2.0869202613830566,20.632076263427734,False
0.39,0.22,0.39,1969.3622151034576,159.08635153052808,0.17122902347991184,2.0925753116607666,20.63028335571289,False
0.39,0.305,0.305,1982.1008799155854,160.12221066703827,0.17303766223598768,2.088235855102539,20.629404067993164,False
0.39,0.39,0.22,1994.2165577736187,161.106413475731,0.16193207133872273,2.0641064643859863,20.628705978393555,False
0.39,0.475,0.135,2002.916827785527,161.8183442628385,0.15630837628343877,2.044771194458008,20.627552032470703,False
0.39,0.56,0.05,2009.8362762533352,162.40357797667372,0.17490116877733164,2.0321147441864014,20.624223709106445,False
0.475,0.05,0.475,8.724918309559095,239.06165024550933,1.0383533979972588,0.688076913356781,3.988581418991089,False
0.475,0.135,0.39,1927.7719719078189,155.71791955045464,0.16325512014410504,2.079802989959717,20.63144302368164,False
0.475,0.22,0.305,1968.680464733307,159.0348323154295,0.16757017518017348,2.069265365600586,20.629823684692383,False
0.475,0.305,0.22,1985.7294119976018,160.41954037829373,0.15626764642613492,2.0521273612976074,20.628864288330078,False
0.475,0.39,0.135,1988.220874580813,160.63095180390783,0.15911926651853206,2.039628267288208,20.6275634765625,False
0.475,0.475,0.05,1999.155409068324,161.54010630694862,0.17951811306597718,2.030407428741455,20.62427520751953,False
0.56,0.05,0.39,9.341760766166923,257.6801846659416,1.0818756682193194,0.6801307201385498,4.096306800842285,False
0.56,0.135,0.305,1938.0198011906832,156.5511624083674,0.15845417192398187,2.0323565006256104,20.630722045898438,False
0.56,0.22,0.22,1963.4632825888839,158.61842241131637,0.15520903789326046,2.0422725677490234,20.629165649414062,False
0.56,0.305,0.135,1979.558535885808,159.93043245533218,0.16653631956053758,2.0351271629333496,20.62765121459961,False
0.56,0.39,0.05,1989.5817415013535,160.765758270482,0.18420852269958127,2.0285656452178955,20.624374389648438,False
0.645,0.05,0.305,9.72732195690466,269.0481018945893,0.9238154469807713,0.6824215054512024,4.131837844848633,False
0.645,0.135,0.22,1937.5357459373417,156.51858415364197,0.15990495882730033,1.8468815088272095,20.629863739013672,False
0.645,0.22,0.135,1958.7887586796162,158.2505811044291,0.17532091861207635,2.025377035140991,20.62788963317871,False
0.645,0.305,0.05,1979.2717800607938,159.93118299403218,0.20142324718866533,2.024766445159912,20.62456512451172,False
0.73,0.05,0.22,9.95174894275442,275.46613539362534,0.9469748862314211,0.6970242857933044,4.128678798675537,False
0.73,0.135,0.135,1938.5311505277136,156.60903343393974,0.1891498861999668,1.6398109197616577,20.6285400390625,False
0.73,0.22,0.05,1965.8255153082898,158.8415870877983,0.22229048802292442,2.0064799785614014,20.624967575073242,False
0.815,0.05,0.135,10.04058500251305,276.56673289183385,1.1341719441898264,0.7141245007514954,4.0790324211120605,False
0.815,0.135,0.05,1948.5361800641122,157.436843325933,0.25279406757587997,1.5041844844818115,20.6259822845459,False
0.9,0.05,0.05,9.993826138066616,273.9166005510022,1.4228803809531256,0.7860419154167175,3.987313985824585,False
